Variable Name,Missing Value Count
Soc2_3,49828
Soc2_4,49828
Soc2_5,49828
Soc2_6,49828
m2,50258
had_covid_2,50289
m3,50369
m4_1,50396
m4_2,50396
m4_3,50396
m4_4,50396
m4_96,50396
m4_99,50396
m7_1,50396
m7_10,50396
m7_11,50396
m7_2,50396
m7_3,50396
m7_4,50396
m7_5,50396
m7_6,50396
m7_8,50396
m7_9,50396
av3,50532
vac_boost_beyond,50594
vac12_12,50705
vac12_13,50705
vac10_8,50756
v4_1,51244
v4_2,51244
v4_3,51244
v4_4,51244
v4_5,51244
av1_1,51265
av1_2,51265
av1_3,51265
av1_99,51265
vac12_booster_1,51736
vac12_booster_10,51736
vac12_booster_2,51736
vac12_booster_3,51736
vac12_booster_4,51736
vac12_booster_5,51736
vac12_booster_6,51736
vac12_booster_7,51736
vac12_booster_8,51736
vac12_booster_9,51736
vac12_booster_96,51736
vac_boost_2,51736
i6_health,52059
vac2_4,52261
vac2_5,52261
vac_2,52261
av2,52267
v4_96,52269
v4_99,52269
v1,52300
childvac,52392
WAH_1,52628
WAH_2,52628
WAH_3,52628
i5a_health,52885
i7b_health,52964
vac14_1,53006
vac14_2,53006
vac14_3,53006
SC_1_1,53245
SC_1_2,53245
SC_1_3,53245
SC_1_4,53245
SC_1_5,53245
SC_1_6,53245
SC_1_7,53245
SC_1_99,53245
V1_1,53245
V1_2,53245
V1_3,53245
V1_98,53245
V4_6,53245
V4_8,53245
V4_9,53245
V4_98,53245
future_3,53251
Vent_2,53258
WAH4,53258
had_covid,53258
ox1_1,53264
ox1_2,53264
ox3_1,53264
ox3_2,53264
ox3_3,53264
ox3_4,53264
ox3_5,53264
ox3_6,53264
ox5_1,53264
ox5_2,53264
ox6,53264
w6,53265
w9_1,53265
w9_2,53265
w9_3,53265
w9_4,53265
w9_5,53265
vac4,53269
vac6,53269
ct1_1,53270
ct1_2,53270
ct2,53270
ct4,53270
ct6_1,53270
ct6_2,53270
ct6_3,53270
ct6_4,53270
ct6_5,53270
ct6_6,53270
ct6_96,53270
ct6_99,53270
ct7_1,53270
ct7_2,53270
ct7_3,53270
ct8_1,53270
ct8_2,53270
ct8_3,53270
ct8_4,53270
ct8_5,53270
ct8_6,53270
ct8_99,53270
m1_1,53270
m1_2,53270
m1_3,53270
m1_4,53270
disability_EU,53277
w7,53279
w4_1,53285
w4_10,53285
w4_11,53285
w4_2,53285
w4_3,53285
w4_4,53285
w4_5,53285
w4_6,53285
w4_7,53285
w4_8,53285
w4_9,53285
w4_99,53285
ct1b_1,53301
ct1b_10,53301
ct1b_11,53301
ct1b_2,53301
ct1b_3,53301
ct1b_4,53301
ct1b_5,53301
ct1b_6,53301
ct1b_7,53301
ct1b_8,53301
ct1b_9,53301
ct1b_96,53301
ct1b_99,53301
long_covid,53303
m8_1,53322
m8_2,53322
m8_3,53322
m8_4,53322
m8_5,53322
m8_6,53322
m8_7,53322
m8_8,53322
m8_96,53322
m8_99,53322
m9_1,53322
m9_2,53322
m9_3,53322
m9_4,53322
m9_5,53322
m9_6,53322
m9_7,53322
ox4_2_1,53413
ox4_5_1,53426
ox4_6_1,53432
ox4_1_1,53436
ox4_10_1,53437
ox4_8_1,53442
ox4_4_1,53443
m10,53446
m11,53446
ox4_7_1,53446
ox4_9_1,53447
ox4_11_1,53448
ox4_3_1,53450
i8_health,53487
work2,53520
work3,53520
vac12_other,53547
m5_2,53653
vac12_booster_other,53693
vac3_other,53735
work1,53739
work4,53739
work6,53739
WAH6,53758
WAH5,53804
w4b,53858
Soc2_open,53890
vac13,53938
SC_2,53957
SC_3_1,53957
SC_3_2,53957
SC_3_3,53957
SC_3_4,53957
SC_3_5,53957
SC_3_6,53957
SC_3_7,53957
SC_3_99,53957
work5,53971
v2_1,53984
v2_2,53984
v2_3,53984
v2_4,53984
v2_5,53984
v2_99,53984
q_other,53999
child_education_1,54004
child_education_2,54004
child_education_3,54004
child_education_4,54004
m5_1,54011
work7_1,54055
work7_2,54055
work7_3,54055
work7_4,54055
work7_5,54055
work8,54055
m4_other,54063
m6_1,54094
m6_2,54094
m6_3,54094
m6_4,54094
m6_5,54094
m6_6,54094
m6_7,54094
m6_8,54094
m6_96,54094
w5_1,54094
w5_10,54094
w5_11,54094
w5_12,54094
w5_13,54094
w5_14,54094
w5_15,54094
w5_16,54094
w5_2,54094
w5_3,54094
w5_4,54094
w5_5,54094
w5_6,54094
w5_7,54094
w5_8,54094
w5_9,54094
w5_96,54094
w5_99,54094
v3,54111
WAH7_1,54143
WAH7_2,54143
WAH7_3,54143
WAH7_4,54143
WAH7_5,54143
WAH7_6,54143
WAH7_7,54143
WAH7_99,54143
ct3,54145
ct5_1,54151
ct5_2,54151
ct5_3,54151
ct5_4,54151
ct5_5,54151
ct5_6,54151
ct5_7,54151
ct5_8,54151
ct5_9,54151
ct5_96,54151
ct5_99,54151
V3_adult18,54209
m12_1,54218
m12_2,54218
m12_3,54218
m12_4,54218
m12_5,54218
m12_6,54218
m12_7,54218
m12_8,54218
m12_96,54218
m12_99,54218
m13_1,54218
m13_10,54218
m13_11,54218
m13_2,54218
m13_3,54218
m13_4,54218
m13_5,54218
m13_6,54218
m13_8,54218
m13_9,54218
v3_other,54219
V4_other,54230
v3_open,54231
V3_child5_17,54244
V3_me,54244
m14_1,54247
m14_10,54247
m14_11,54247
m14_2,54247
m14_3,54247
m14_4,54247
m14_5,54247
m14_6,54247
m14_7,54247
m14_8,54247
m14_9,54247
m14_96,54247
m14_99,54247
ct1b_other,54255
m6_other,54255
m8_other,54255
V3_child2_4,54257
V3_adult18_other,54260
m14_open,54261
V3_baby,54264
V3_me_other,54265
ct6_other,54265
ct3_other,54266
ct5_other,54267
V3_baby_other,54269
V3_child5_17_other,54269
m12_other,54269
V3_child2_4_other,54270
